Page Name,Page URL,Category,Status Code,Response Time (ms),Error
"Ground Black Pepper","https://sunrisespices.in/our-products/ground-black-pepper.html","Healthy","200","34.14",""
"Chaat Masala","https://sunrisespices.in/our-products/chaat-masala.html","Healthy","200","56.5",""
"Coriander Powder","https://sunrisespices.in/our-products/coriander-powder.html","Healthy","200","54.64",""
"Chow Mix Masala","https://sunrisespices.in/our-products/chow-mix-masala.html","Healthy","200","48.18",""
"Paneer Butter Masala","https://sunrisespices.in/our-products/paneer-butter-masala.html","Healthy","200","359.04",""
"Chana Masala","https://sunrisespices.in/our-products/chana-masala.html","Healthy","200","90.32",""
"Whole Black Pepper","https://sunrisespices.in/our-products/whole-black-pepper.html","Healthy","200","913.31",""
"Jaljeera Masala","https://sunrisespices.in/our-products/jaljeera-masala.html","Healthy","200","631.87",""
"Ground Cumin","https://sunrisespices.in/our-products/ground-cumin.html","Healthy","200","877.45",""
"Chicken Curry Masala","https://sunrisespices.in/our-products/chicken-curry-masala.html","Healthy","200","73.18",""
"Jeera","https://sunrisespices.in/our-products/jeera.html","Healthy","200","46.67",""
"Kasuri Methi","https://sunrisespices.in/our-products/kasuri-methi.html","Healthy","200","43.05",""
"Macher Jhol Masala","https://sunrisespices.in/our-products/macher-jhol-masala.html","Healthy","200","39.31",""
"Masala Papad","https://sunrisespices.in/our-products/masala-papad.html","Healthy","200","21.69",""
"Meat Masala","https://sunrisespices.in/our-products/meat-masala.html","Healthy","200","40.85",""
"Whole Ajwain","https://sunrisespices.in/our-products/whole-ajwain.html","Healthy","200","25.58",""
"Whole Kala Jeera","https://sunrisespices.in/our-products/whole-kala-jeera.html","Healthy","200","45.86",""
"Pasta Masala","https://sunrisespices.in/our-products/pasta-masala.html","Healthy","200","45.64",""
"Pav Bhaji Masala","https://sunrisespices.in/our-products/pav-bhaji-masala.html","Healthy","200","73.09",""
"Plain Papad","https://sunrisespices.in/our-products/plain-papad.html","Healthy","200","43.47",""
"Powdered Mustard","https://sunrisespices.in/our-products/powdered-mustard.html","Healthy","200","25.36",""
"Whole Methi Seeds","https://sunrisespices.in/our-products/whole-methi-seeds.html","Healthy","200","35.87",""
"Punjabi Papad","https://sunrisespices.in/our-products/punjabi-papad.html","Healthy","200","37.55",""
"Red Chilli Powder","https://sunrisespices.in/our-products/red-chilli-powder.html","Healthy","200","73.01",""
"Whole Rai","https://sunrisespices.in/our-products/whole-rai.html","Healthy","200","70.87",""
"Whole Poppy Seeds","https://sunrisespices.in/our-products/whole-poppy-seeds.html","Healthy","200","70",""
"Whole Brown Mustard","https://sunrisespices.in/our-products/whole-brown-mustard.html","Healthy","200","66.43",""
"Red Chilli Flakes","https://sunrisespices.in/our-products/red-chilli-flakes.html","Healthy","200","66.03",""
"Tej Red Chilli Powder","https://sunrisespices.in/our-products/tej-red-chilli-powder.html","Healthy","200","62.68",""
"Turmeric Powder","https://sunrisespices.in/our-products/turmeric-powder.html","Healthy","200","59.52",""
"Egg Curry Masala","https://sunrisespices.in/our-products/egg-curry-masala.html","Healthy","200","58.85",""
"Haah Salkumura Masala","https://sunrisespices.in/our-products/haah-salkumura-masala.html","Healthy","200","57.42",""
"Magic Masala","https://sunrisespices.in/our-products/magic-masala.html","Healthy","200","54.49",""
"Sabji Masala","https://sunrisespices.in/our-products/sabji-masala.html","Healthy","200","63.04",""
"Sambar Masala","https://sunrisespices.in/our-products/sambar-masala.html","Healthy","200","65.85",""
"Shahi Garam Masala","https://sunrisespices.in/our-products/shahi-garam-masala.html","Healthy","200","55.09",""
"Shorshe Posto Powder","https://sunrisespices.in/our-products/shorshe-posto-powder.html","Healthy","200","65.42",""
"Tadka Masala","https://sunrisespices.in/our-products/tadka-masala.html","Healthy","200","57.09",""
"Tarkari Masala","https://sunrisespices.in/our-products/tarkari-masala.html","Healthy","200","66.86",""
"Panch Phoran","https://sunrisespices.in/our-products/panch-phoran.html","Healthy","200","64.74",""
"Saunf","https://sunrisespices.in/our-products/saunf.html","Healthy","200","59.17",""
"Hing","https://sunrisespices.in/our-products/hing.html","Healthy","200","75.29",""
"Clove","https://sunrisespices.in/our-products/clove.html","Healthy","200","112.67",""
"Radhuni","https://sunrisespices.in/our-products/radhuni.html","Healthy","200","356",""
"Sarso Yellow","https://sunrisespices.in/our-products/sarso-yellow.html","Healthy","200","35.3",""
"Chhoti Elaichi","https://sunrisespices.in/our-products/chhoti-elaichi.html","Healthy","200","37.22",""
"Recipe Collection","https://sunrisespices.in/recipe-collection.html","Healthy","200","44.28",""
"Aloo Paratha Recipe","https://sunrisespices.in/recipe-collection/aloo-paratha-recipe.html","Healthy","200","18.14",""
"Shahi Chicken Korma Recipe","https://sunrisespices.in/recipe-collection/shahi-chicken-korma-recipe.html","Healthy","200","41.56",""
"Bengali Bhetki Paturi Recipe","https://sunrisespices.in/recipe-collection/bengali-bhetki-paturi-recipe.html","Healthy","200","16.88",""
"Chicken Hakka Noodle Recipe","https://sunrisespices.in/recipe-collection/chicken-hakka-noodle-recipe.html","Healthy","200","16.93",""
"Chole Bhature Recipe","https://sunrisespices.in/recipe-collection/chole-bhature-recipe.html","Healthy","200","18.3",""
"Bhoger Khichuri Recipe","https://sunrisespices.in/recipe-collection/bhoger-khichuri-recipe.html","Healthy","200","39.46",""
"Fish Fry Recipe","https://sunrisespices.in/recipe-collection/fish-fry-recipe.html","Healthy","200","21.03",""
"Pepper Chicken Recipe","https://sunrisespices.in/recipe-collection/pepper-chicken-recipe.html","Healthy","200","36.81",""
"Vegetable Jalfrezi Recipe","https://sunrisespices.in/recipe-collection/vegetable-jalfrezi-recipe.html","Healthy","200","19.13",""
"Bengali Aloo Dum Recipe","https://sunrisespices.in/recipe-collection/bengali-aloo-dum-recipe.html","Healthy","200","19.98",""
"Kakrar Jhal Spicy Bengali Crab Curry With Mustard Zing","https://sunrisespices.in/recipe-collection/kakrar-jhal-spicy-bengali-crab-curry-with-mustard-zing.html","Healthy","200","22.26",""
"Crispy Fish Fry With A Twist Of Poppy Seeds Vermicelli And Semolina","https://sunrisespices.in/recipe-collection/crispy-fish-fry-with-a-twist-of-poppy-seeds-vermicelli-and-semolina.html","Healthy","200","18.35",""
"Leftover Dal Cheela Savoury Lentil Pancakes","https://sunrisespices.in/recipe-collection/leftover-dal-cheela-savoury-lentil-pancakes.html","Healthy","200","18.91",""
"Mutton Nuna Gosht Simplest Bengali Mutton Curry","https://sunrisespices.in/recipe-collection/mutton-nuna-gosht-simplest-bengali-mutton-curry.html","Healthy","200","18.25",""
"Crispy Fried Bhetki Fillets With Honey Mustard Sauce","https://sunrisespices.in/recipe-collection/crispy-fried-bhetki-fillets-with-honey-mustard-sauce.html","Healthy","200","18.27",""
"Crispy Prawn Toasts With Zesty Chilli Panko","https://sunrisespices.in/recipe-collection/crispy-prawn-toasts-with-zesty-chilli-panko.html","Healthy","200","18.72",""
"A Royal Mealtime Treasure Veg Mughlai Handi","https://sunrisespices.in/recipe-collection/a-royal-mealtime-treasure-veg-mughlai-handi.html","Healthy","200","42.07",""
"Veg Peel Kebab Recipe Veg Kebabs With Vegetable Peels","https://sunrisespices.in/recipe-collection/veg-peel-kebab-recipe-veg-kebabs-with-vegetable-peels.html","Healthy","200","27.36",""
"Zesty Chicken Honey Mustard Sandwich Recipe","https://sunrisespices.in/recipe-collection/zesty-chicken-honey-mustard-sandwich-recipe.html","Healthy","200","24.47",""
"Mustard Chilli Mayo Creamy Condiment For Every Snack","https://sunrisespices.in/recipe-collection/mustard-chilli-mayo-creamy-condiment-for-every-snack.html","Healthy","200","23.63",""
"Burani Raita Silky Curd With Crispy Garlic And Cumin","https://sunrisespices.in/recipe-collection/burani-raita-silky-curd-with-crispy-garlic-and-cumin.html","Healthy","200","23.09",""
"Zingy Tomato Jeera Salsa Recipe","https://sunrisespices.in/recipe-collection/zingy-tomato-jeera-salsa-recipe.html","Healthy","200","24.06",""
"Refreshing Mint Chutney With Amchur And Chaat Masala","https://sunrisespices.in/recipe-collection/refreshing-mint-chutney-with-amchur-and-chaat-masala.html","Healthy","200","24.14",""
"Fried Chicken Crispy Spicy Indian Style Recipe","https://sunrisespices.in/recipe-collection/fried-chicken-crispy-spicy-indian-style-recipe.html","Healthy","200","23.81",""
"Indian Snack Favourite Spiced Corn And Cheese Balls","https://sunrisespices.in/recipe-collection/indian-snack-favourite-spiced-corn-and-cheese-balls.html","Healthy","200","25.46",""
"Crispy Kurkuri Bhindi Recipe","https://sunrisespices.in/recipe-collection/crispy-kurkuri-bhindi-recipe.html","Healthy","200","21.77",""
"Tandoori Paneer Tikka On A Tawa","https://sunrisespices.in/recipe-collection/tandoori-paneer-tikka-on-a-tawa.html","Healthy","200","22.2",""
"Papri Chaat Recipe Street Food Classic","https://sunrisespices.in/recipe-collection/papri-chaat-recipe-street-food-classic.html","Healthy","200","17.41",""
"How To Make Creamy Paneer Korma With Onion Cashew Gravy","https://sunrisespices.in/recipe-collection/how-to-make-creamy-paneer-korma-with-onion-cashew-gravy.html","Healthy","200","14.31",""
"Easy Rozana Mutton Curry A Classic Bengali Mutton Dish","https://sunrisespices.in/recipe-collection/easy-rozana-mutton-curry-a-classic-bengali-mutton-dish.html","Healthy","200","16.32",""
"Pomfret Macher Jhal Aromatic Bengali Pomfret Curry","https://sunrisespices.in/recipe-collection/pomfret-macher-jhal-aromatic-bengali-pomfret-curry.html","Healthy","200","18.89",""
"Spiced Chicken Liver Saute With Onions And Tomatoes","https://sunrisespices.in/recipe-collection/spiced-chicken-liver-saute-with-onions-and-tomatoes.html","Healthy","200","17.43",""
"Soft Creamy Paneer In Onion Gravy With Whole Spices","https://sunrisespices.in/recipe-collection/soft-creamy-paneer-in-onion-gravy-with-whole-spices.html","Healthy","200","16.96",""
"Bengali Doodh Potol Creamy Potol In A Spiced Milk Gravy","https://sunrisespices.in/recipe-collection/bengali-doodh-potol-creamy-potol-in-a-spiced-milk-gravy.html","Healthy","200","38.73",""
"Masaledar Aloo Chatka Quick And Spicy Potato Stir Fry","https://sunrisespices.in/recipe-collection/masaledar-aloo-chatka-quick-and-spicy-potato-stir-fry.html","Healthy","200","19.53",""
"Zero Oil Chicken Paneer Kofta Healthy Mughlai Meatball","https://sunrisespices.in/recipe-collection/zero-oil-chicken-paneer-kofta-healthy-mughlai-meatball.html","Healthy","200","19.36",""
"Niramish Chhanar Kalia Paneer Koftas In Pure Veg Gravy","https://sunrisespices.in/recipe-collection/niramish-chhanar-kalia-paneer-koftas-in-pure-veg-gravy.html","Healthy","200","19.76",""
"Crispy Vermicelli Coated Potato Nest With Paneer Eggs","https://sunrisespices.in/recipe-collection/crispy-vermicelli-coated-potato-nest-with-paneer-eggs.html","Healthy","200","26.21",""
"Dum Pukht Mutton Bhuna Masala Spicy Smoked Mutton Gravy","https://sunrisespices.in/recipe-collection/dum-pukht-mutton-bhuna-masala-spicy-smoked-mutton-gravy.html","Healthy","200","25.35",""
"Hariyali Chicken Tikka Recipe Chicken In Spinach Parcel","https://sunrisespices.in/recipe-collection/hariyali-chicken-tikka-recipe-chicken-in-spinach-parcel.html","Healthy","200","24.5",""
"Authentic Assamese Mati Dali Khar Recipe","https://sunrisespices.in/recipe-collection/authentic-assamese-mati-dali-khar-recipe.html","Healthy","200","24.05",""
"Authentic Assamese Recipe Posola Chicken","https://sunrisespices.in/recipe-collection/authentic-assamese-recipe-posola-chicken.html","Healthy","200","21.84",""
"Soya Kebab Recipe Protein Rich Veg Seekh Kebabs","https://sunrisespices.in/recipe-collection/soya-kebab-recipe-protein-rich-veg-seekh-kebabs.html","Healthy","200","42.7",""
"Potato 65 Crispy Spicy South Indian Snack","https://sunrisespices.in/recipe-collection/potato-65-crispy-spicy-south-indian-snack.html","Healthy","200","21.45",""
"Authentic Paneer Makhani Recipe In Rich Tomato Gravy","https://sunrisespices.in/recipe-collection/authentic-paneer-makhani-recipe-in-rich-tomato-gravy.html","Healthy","200","17.52",""
"Masala Peanut Salad Recipe Protein Rich Salad","https://sunrisespices.in/recipe-collection/masala-peanut-salad-recipe-protein-rich-salad.html","Healthy","200","18.03",""
"Tomato Dates Chutney Sweet Tangy Bengali Relish","https://sunrisespices.in/recipe-collection/tomato-dates-chutney-sweet-tangy-bengali-relish.html","Healthy","200","17.35",""
"Authentic Kolkata Style Chicken Rezala Recipe","https://sunrisespices.in/recipe-collection/authentic-kolkata-style-chicken-rezala-recipe.html","Healthy","200","22.68",""
"Navratan Korma Rich Creamy 9 Gem Vegetarian Curry","https://sunrisespices.in/recipe-collection/navratan-korma-rich-creamy-9-gem-vegetarian-curry.html","Healthy","200","20.25",""
"Mutton Kosha Recipe Tender Mutton In A Rich Gravy","https://sunrisespices.in/recipe-collection/mutton-kosha-recipe-tender-mutton-in-a-rich-gravy.html","Healthy","200","65.42",""
"Niramish Dim Recipe Potato Eggs In Spicy Tomato Gravy","https://sunrisespices.in/recipe-collection/niramish-dim-recipe-potato-eggs-in-spicy-tomato-gravy.html","Healthy","200","23.88",""
"Motiwali Dal With Paneer Kofta Bengali Dal With Cheese Balls","https://sunrisespices.in/recipe-collection/motiwali-dal-with-paneer-kofta-bengali-dal-with-cheese-balls.html","Healthy","200","20.57",""
"Crispy Prawn Lollipops Fried Whole Prawn Balls","https://sunrisespices.in/recipe-collection/crispy-prawn-lollipops-fried-whole-prawn-balls.html","Healthy","200","56.7",""
"Paneer Pasinda Stuffed Paneer Pockets In A Nutty Curd Gravy","https://sunrisespices.in/recipe-collection/paneer-pasinda-stuffed-paneer-pockets-in-a-nutty-curd-gravy.html","Healthy","200","60.84",""
"Black Pepper Chicken","https://sunrisespices.in/recipe-collection/black-pepper-chicken.html","Healthy","200","17.95",""
"Chatpata Chalistani","https://sunrisespices.in/recipe-collection/chatpata-chalistani.html","Healthy","200","83.14",""
"Karela Peas Momo With Tomato Soup And Coriander Sauce","https://sunrisespices.in/recipe-collection/karela-peas-momo-with-tomato-soup-and-coriander-sauce.html","Healthy","200","17.76",""
"Crispy Tangy Delectable Indian Style Orange Chicken","https://sunrisespices.in/recipe-collection/crispy-tangy-delectable-indian-style-orange-chicken.html","Healthy","200","17.74",""
"Echor Chingrir Shahi Kofta Curry","https://sunrisespices.in/recipe-collection/echor-chingrir-shahi-kofta-curry.html","Healthy","200","37.82",""
"Machher Madhukheera Creamy Bengali Style Rohu Curry","https://sunrisespices.in/recipe-collection/machher-madhukheera--creamy-bengali-style-rohu-curry.html","Healthy","200","43.65",""
"Chicken Kadam Steamed Chicken Meatball Coated With Rice","https://sunrisespices.in/recipe-collection/chicken-kadam-steamed-chicken-meatball-coated-with-rice.html","Healthy","200","33.53",""
"Cheese Stuffed Chicken Koftas In Tangy Creamy Gravy","https://sunrisespices.in/recipe-collection/cheese-stuffed-chicken-koftas-in-tangy--creamy-gravy.html","Healthy","200","64.91",""
"Golden Veg Nargisi Koftas I Thick Tomato Cashew Sauce","https://sunrisespices.in/recipe-collection/golden-veg-nargisi-koftas-i-thick-tomato-cashew-sauce.html","Healthy","200","36.11",""
"Chingri Bodhua Prawns With Coconut Gravy Served On Cabbage Leaves","https://sunrisespices.in/recipe-collection/chingri-bodhua-prawns-with-coconut-gravy-served-on-cabbage-leaves.html","Healthy","200","32.56",""
"Murg E Khaas Creamy And Nutty Rajasthani Chicken Curry","https://sunrisespices.in/recipe-collection/murg-e-khaas-creamy-and-nutty-rajasthani-chicken-curry.html","Healthy","200","33.9",""
"Jhaal Narkel Chingri Prawns In A Spicy Coconut Curry","https://sunrisespices.in/recipe-collection/jhaal-narkel-chingri-prawns-in-a-spicy-coconut-curry.html","Healthy","200","35.11",""
"Butter Paneer Masala Paneer In Spiced Tomato Gravy","https://sunrisespices.in/recipe-collection/butter-paneer-masala-paneer-in-spiced-tomato-gravy.html","Healthy","200","36.75",""
"Bengali Chhaddabeshi Kalia Soybean Fish Curry Recipe","https://sunrisespices.in/recipe-collection/bengali-chhaddabeshi-kalia-soybean-fish-curry-recipe.html","Healthy","200","36.58",""
"Badhakopir Chaap Cabbage Fritters In Rich Cashew Gravy","https://sunrisespices.in/recipe-collection/badhakopir-chaap-cabbage-fritters-in-rich-cashew-gravy.html","Healthy","200","14.36",""
"Aloo Potol Chingri Dom Prawn Curry With Potol And Aloo","https://sunrisespices.in/recipe-collection/aloo-potol-chingri-dom-prawn-curry-with-potol-and-aloo.html","Healthy","200","20.69",""
"Chicken Muitha Succulent Bengali Chicken Kofta Curry","https://sunrisespices.in/recipe-collection/chicken-muitha-succulent-bengali-chicken-kofta-curry.html","Healthy","200","13.61",""
"Bengali Kochur Lotir Jhaal With Mustard And Coconut","https://sunrisespices.in/recipe-collection/bengali-kochur-lotir-jhaal-with-mustard-and-coconut.html","Healthy","200","22.35",""
"Bhetki Maachher Patisapta Fish Rolled In Thin Crepes","https://sunrisespices.in/recipe-collection/bhetki-maachher-patisapta-fish-rolled-in-thin-crepes.html","Healthy","200","19.87",""
"Bengali Thorer Bora Crispy Banana Stem Fritters","https://sunrisespices.in/recipe-collection/bengali-thorer-bora-crispy-banana-stem-fritters.html","Healthy","200","20.05",""
"Bengali Fish Biryani Fragrant Rice Fried Fish","https://sunrisespices.in/recipe-collection/bengali-fish-biryani-fragrant-rice-fried-fish.html","Healthy","200","20.9",""
"Cholar Dal Fragrant Split Bengal Gram With Coconut","https://sunrisespices.in/recipe-collection/cholar-dal-fragrant-split-bengal-gram-with-coconut.html","Healthy","200","20.66",""
"Bengali Begun Bhaja Crispy Fried Aubergine Slices","https://sunrisespices.in/recipe-collection/bengali-begun-bhaja-crispy-fried-aubergine-slices.html","Healthy","200","22.17",""
"Masala Potato Sandwich Recipe Tangy Indian Starter","https://sunrisespices.in/recipe-collection/masala-potato-sandwich-recipe-tangy-indian-starter.html","Healthy","200","19.4",""
"Chicken Kathi Roll A Wholesome Kolkata Wrap","https://sunrisespices.in/recipe-collection/chicken-kathi-roll-a-wholesome-kolkata-wrap.html","Healthy","200","20.82",""
"Masor Tenga Assamese Tangy Fish Curry Recipe","https://sunrisespices.in/recipe-collection/masor-tenga-assamese-tangy-fish-curry-recipe.html","Healthy","200","20.72",""
"Kerala Style Kappa Tapioca Chicken Curry","https://sunrisespices.in/recipe-collection/kerala-style-kappa-tapioca-chicken-curry.html","Healthy","200","21.34",""
"Easy Crisp Spiced Masala Potato Wedges Recipe","https://sunrisespices.in/recipe-collection/easy-crisp-spiced-masala-potato-wedges-recipe.html","Healthy","200","21.02",""
"Kashmiri Dum Aloo Paneer Filled Potatoes In Rich Gravy","https://sunrisespices.in/recipe-collection/kashmiri-dum-aloo-paneer-filled-potatoes-in-rich-gravy.html","Healthy","200","18",""
"Mutton Rara Mutton Pieces With Mutton Keema","https://sunrisespices.in/recipe-collection/mutton-rara-mutton-pieces-with-mutton-keema.html","Healthy","200","30.11",""
"Achaari Mutton Mutton With Homemade Achari Flavour","https://sunrisespices.in/recipe-collection/achaari-mutton-mutton-with-homemade-achari-flavour.html","Healthy","200","31.14",""
"Paneer Fulkopir Roast With Coconut And Cashew Gravy","https://sunrisespices.in/recipe-collection/paneer-fulkopir-roast-with-coconut-and-cashew-gravy.html","Healthy","200","34.76",""
"Ilish Lebur Ullash Tangy Spiced Hilsa Fish Curry","https://sunrisespices.in/recipe-collection/ilish-lebur-ullash-tangy-spiced-hilsa-fish-curry.html","Healthy","200","49.21",""
"Soyabean Malaikari Coconut Creamy Soyabean Malai Curry","https://sunrisespices.in/recipe-collection/soyabean-malaikari-coconut-creamy-soyabean-malai-curry.html","Healthy","200","25.15",""
"Doi Posto Katla Bengali Catfish In Curd Mustard Gravy","https://sunrisespices.in/recipe-collection/doi-posto-katla-bengali-catfish-in-curd-mustard-gravy.html","Healthy","200","15.91",""
"Chicken Seekh Malai Chicken Seekh Kebab In Malai Sauce","https://sunrisespices.in/recipe-collection/chicken-seekh-malai-chicken-seekh-kebab-in-malai-sauce.html","Healthy","200","25.11",""
"How To Make Oven Baked Cheesy Chicken Veggies Fusion","https://sunrisespices.in/recipe-collection/how-to-make-oven-baked-cheesy-chicken-veggies-fusion.html","Healthy","200","26.63",""
"Chingrir Malaikari Bengali Prawns In Creamy Curry","https://sunrisespices.in/recipe-collection/chingrir-malaikari-bengali-prawns-in-creamy-curry.html","Healthy","200","26.95",""
"Chicken Maharani Royal Chicken Curry In Creamy Sauce","https://sunrisespices.in/recipe-collection/chicken-maharani-royal-chicken-curry-in-creamy-sauce.html","Healthy","200","23.87",""
"Easy Dhania Mushroom Recipe For A Quick And Easy Meal","https://sunrisespices.in/recipe-collection/easy-dhania-mushroom-recipe-for-a-quick-and-easy-meal.html","Healthy","200","27.93",""
"Prawn Pulao Recipe Fragrant Rice With Tender Prawns","https://sunrisespices.in/recipe-collection/prawn-pulao-recipe-fragrant-rice-with-tender-prawns.html","Healthy","200","31.39",""
"Shahi Katlar Kalia Recipe Bengali Fried Fish With Gravy","https://sunrisespices.in/recipe-collection/shahi-katlar-kalia-recipe-bengali-fried-fish-with-gravy.html","Healthy","200","25.61",""
"Kadhai Murgh Recipe Chicken Simmered In Spiced Gravy","https://sunrisespices.in/recipe-collection/kadhai-murgh-recipe-chicken-simmered-in-spiced-gravy.html","Healthy","200","30.99",""
"Kaleja Matar Masala Liver And Peas In Aromatic Gravy","https://sunrisespices.in/recipe-collection/kaleja-matar-masala-liver-and-peas-in-aromatic-gravy.html","Healthy","200","31.94",""
"Fruit Basket Recipe Healthy Snacks Recipe","https://sunrisespices.in/recipe-collection/fruit-basket-recipe-healthy-snacks-recipe.html","Healthy","200","24.89",""
"Dhania Aloo Dum Baby Potatoes Infused With Coriander","https://sunrisespices.in/recipe-collection/dhania-aloo-dum-baby-potatoes-infused-with-coriander.html","Healthy","200","24.38",""
"Pan Fried Bengali Style Fish With Carom Seeds","https://sunrisespices.in/recipe-collection/pan-fried-bengali-style-fish-with-carom-seeds.html","Healthy","200","24.12",""
"Gobi Matar Tehri Flavoursome Vegetable Rice Medley","https://sunrisespices.in/recipe-collection/gobi-matar-tehri-flavoursome-vegetable-rice-medley.html","Healthy","200","24.14",""
"Salli Jardaloo Murgh Parsi Style Chicken With Apricots","https://sunrisespices.in/recipe-collection/salli-jardaloo-murgh-parsi-style-chicken-with-apricots.html","Healthy","200","24.01",""
"Batter Fried Bhetki Fish Bengali Biyebari Style","https://sunrisespices.in/recipe-collection/batter-fried-bhetki-fish-bengali-biyebari-style.html","Healthy","200","23.92",""
